 (9.49127853e-01+1.98486120e-01j)  (2.77303398e-01+5.70519090e-01j)  (5.31485498e-01+8.16510916e-01j)  (9.76740539e-01+1.39062881e-01j)  (7.23155558e-01+6.75669134e-01j)  (4.75383252e-01+4.03226048e-01j)  (9.10421789e-01+3.88588339e-01j)  (7.99363315e-01+5.86353004e-01j)  (8.19162071e-01+5.45168698e-01j)  (8.72694314e-01+4.71637189e-01j)
 (9.49080706e-01+1.98505297e-01j)  (2.77312815e-01+5.70613205e-01j)  (5.31228185e-01+8.16424608e-01j)  (9.76727068e-01+1.38989687e-01j)  (7.23163128e-01+6.75662994e-01j)  (4.75207716e-01+4.03175265e-01j)  (9.10442114e-01+3.88536215e-01j)  (7.99341679e-01+5.86380422e-01j)  (8.19160998e-01+5.45164943e-01j)  (8.72659564e-01+4.71705496e-01j)
 (9.49034929e-01+1.98524699e-01j)  (2.77321965e-01+5.70704520e-01j)  (5.30977726e-01+8.16339552e-01j)  (9.76714134e-01+1.38919130e-01j)  (7.23170400e-01+6.75657094e-01j)  (4.75038320e-01+4.03126150e-01j)  (9.10462081e-01+3.88484865e-01j)  (7.99320638e-01+5.86407125e-01j)  (8.19160283e-01+5.45160711e-01j)  (8.72626066e-01+4.71771330e-01j)
 (9.48991239e-01+1.98543832e-01j)  (2.77331114e-01+5.70792019e-01j)  (5.30738235e-01+8.16257358e-01j)  (9.76701915e-01+1.38852313e-01j)  (7.23177791e-01+6.75651014e-01j)  (4.74877238e-01+4.03079391e-01j)  (9.10481572e-01+3.88435125e-01j)  (7.99300730e-01+5.86432397e-01j)  (8.19159925e-01+5.45156360e-01j)  (8.72594118e-01+4.71834093e-01j)
 (9.48950469e-01+1.98562428e-01j)  (2.77339548e-01+5.70873857e-01j)  (5.30514121e-01+8.16179872e-01j)  (9.76690650e-01+1.38790295e-01j)  (7.23184764e-01+6.75645292e-01j)  (4.74727541e-01+4.03035492e-01j)  (9.10500050e-01+3.88388038e-01j)  (7.99282014e-01+5.86456001e-01j)  (8.19159806e-01+5.45152009e-01j)  (8.72564256e-01+4.71892774e-01j)
 (9.48913515e-01+1.98579833e-01j)  (2.77347296e-01+5.70948303e-01j)  (5.30310333e-01+8.16108763e-01j)  (9.76680458e-01+1.38734341e-01j)  (7.23191381e-01+6.75639927e-01j)  (4.74592030e-01+4.02995765e-01j)  (9.10517037e-01+3.88344735e-01j)  (7.99265027e-01+5.86477518e-01j)  (8.19159806e-01+5.45147777e-01j)  (8.72537315e-01+4.71945703e-01j)
 (9.48880970e-01+1.98595539e-01j)  (2.77354151e-01+5.71013510e-01j)  (5.30130625e-01+8.16045463e-01j)  (9.76671517e-01+1.38685405e-01j)  (7.23197281e-01+6.75634980e-01j)  (4.74473476e-01+4.02960658e-01j)  (9.10532236e-01+3.88306290e-01j)  (7.99250066e-01+5.86496472e-01j)  (8.19159985e-01+5.45143902e-01j)  (8.72513652e-01+4.71992373e-01j)
 (9.48853314e-01+1.98609158e-01j)  (2.77360082e-01+5.71069181e-01j)  (5.29978216e-01+8.15991342e-01j)  (9.76664066e-01+1.38644129e-01j)  (7.23202288e-01+6.75630808e-01j)  (4.74372983e-01+4.02931035e-01j)  (9.10545230e-01+3.88273209e-01j)  (7.99237490e-01+5.86512566e-01j)  (8.19160402e-01+5.45140266e-01j)  (8.72493625e-01+4.72031772e-01j)
 (9.48830843e-01+1.98620409e-01j)  (2.77365088e-01+5.71114779e-01j)  (5.29853106e-01+8.15946877e-01j)  (9.76657808e-01+1.38610423e-01j)  (7.23206401e-01+6.75627470e-01j)  (4.74291027e-01+4.02906895e-01j)  (9.10555899e-01+3.88246179e-01j)  (7.99227238e-01+5.86525440e-01j)  (8.19160521e-01+5.45137465e-01j)  (8.72477174e-01+4.72063988e-01j)
 (9.48813081e-01+1.98629424e-01j)  (2.77368903e-01+5.71150601e-01j)  (5.29754519e-01+8.15911651e-01j)  (9.76653039e-01+1.38583943e-01j)  (7.23209918e-01+6.75624490e-01j)  (4.74226803e-01+4.02887583e-01j)  (9.10564363e-01+3.88224632e-01j)  (7.99218953e-01+5.86535931e-01j)  (8.19160879e-01+5.45135140e-01j)  (8.72464359e-01+4.72089440e-01j)
 (9.48799610e-01+1.98636368e-01j)  (2.77371734e-01+5.71177721e-01j)  (5.29679954e-01+8.15884829e-01j)  (9.76649404e-01+1.38564050e-01j)  (7.23212183e-01+6.75622582e-01j)  (4.74178106e-01+4.02873278e-01j)  (9.10570860e-01+3.88208181e-01j)  (7.99212873e-01+5.86543739e-01j)  (8.19160998e-01+5.45133412e-01j)  (8.72454584e-01+4.72108543e-01j)
