 (7.02870309e-01+6.57250047e-01j)  (8.69891346e-01+3.53488326e-01j)  (5.85966289e-01+7.19806373e-01j)  (3.88829917e-01+8.44190955e-01j)  (5.55220723e-01+4.72563148e-01j)  (9.26941991e-01+2.57284522e-01j)  (6.34789348e-01+5.90455294e-01j)  (8.15109909e-01+5.60432196e-01j)  (9.72670138e-01+1.97733179e-01j)  (7.96799123e-01+5.91294646e-01j)
 (7.02845395e-01+6.57301903e-01j)  (8.69982660e-01+3.53372335e-01j)  (5.85782588e-01+7.20068991e-01j)  (3.88766468e-01+8.44097376e-01j)  (5.55376530e-01+4.72609222e-01j)  (9.26997244e-01+2.57216245e-01j)  (6.34895205e-01+5.90446115e-01j)  (8.15058112e-01+5.60505927e-01j)  (9.72674072e-01+1.97695062e-01j)  (7.96756923e-01+5.91355264e-01j)
 (7.02820480e-01+6.57352805e-01j)  (8.70070934e-01+3.53259712e-01j)  (5.85602880e-01+7.20324397e-01j)  (3.88705045e-01+8.44006956e-01j)  (5.55526793e-01+4.72653896e-01j)  (9.27050531e-01+2.57149845e-01j)  (6.34997427e-01+5.90436876e-01j)  (8.15008461e-01+5.60576737e-01j)  (9.72677767e-01+1.97658449e-01j)  (7.96716452e-01+5.91413498e-01j)
 (7.02796519e-01+6.57401264e-01j)  (8.70154977e-01+3.53152007e-01j)  (5.85430324e-01+7.20568359e-01j)  (3.88646752e-01+8.43920827e-01j)  (5.55669248e-01+4.72696483e-01j)  (9.27101135e-01+2.57086128e-01j)  (6.35094643e-01+5.90427995e-01j)  (8.14961255e-01+5.60643971e-01j)  (9.72681284e-01+1.97623581e-01j)  (7.96678126e-01+5.91468632e-01j)
 (7.02773392e-01+6.57447398e-01j)  (8.70233178e-01+3.53051662e-01j)  (5.85268497e-01+7.20796227e-01j)  (3.88592094e-01+8.43840897e-01j)  (5.55801630e-01+4.72735912e-01j)  (9.27147925e-01+2.57026643e-01j)  (6.35184765e-01+5.90419948e-01j)  (8.14917684e-01+5.60706079e-01j)  (9.72684443e-01+1.97591245e-01j)  (7.96642721e-01+5.91519475e-01j)
 (7.02751994e-01+6.57489479e-01j)  (8.70304167e-01+3.52960259e-01j)  (5.85120440e-01+7.21003592e-01j)  (3.88542861e-01+8.43768358e-01j)  (5.55920959e-01+4.72771734e-01j)  (9.27190304e-01+2.56972373e-01j)  (6.35266483e-01+5.90412259e-01j)  (8.14878523e-01+5.60761929e-01j)  (9.72687483e-01+1.97562084e-01j)  (7.96610713e-01+5.91565549e-01j)
 (7.02732682e-01+6.57526970e-01j)  (8.70366395e-01+3.52879971e-01j)  (5.84989667e-01+7.21186161e-01j)  (3.88499349e-01+8.43704879e-01j)  (5.56025505e-01+4.72803175e-01j)  (9.27227259e-01+2.56924719e-01j)  (6.35338128e-01+5.90405464e-01j)  (8.14844191e-01+5.60810924e-01j)  (9.72689927e-01+1.97536573e-01j)  (7.96583116e-01+5.91605425e-01j)
 (7.02716351e-01+6.57558560e-01j)  (8.70419085e-01+3.52811694e-01j)  (5.84878266e-01+7.21340954e-01j)  (3.88462424e-01+8.43651175e-01j)  (5.56114018e-01+4.72829759e-01j)  (9.27258551e-01+2.56884068e-01j)  (6.35398686e-01+5.90399683e-01j)  (8.14815283e-01+5.60852230e-01j)  (9.72692072e-01+1.97515026e-01j)  (7.96559751e-01+5.91638982e-01j)
 (7.02702701e-01+6.57584786e-01j)  (8.70462060e-01+3.52755934e-01j)  (5.84786952e-01+7.21467793e-01j)  (3.88432384e-01+8.43607068e-01j)  (5.56186020e-01+4.72851336e-01j)  (9.27284062e-01+2.56850868e-01j)  (6.35448158e-01+5.90394855e-01j)  (8.14791799e-01+5.60885727e-01j)  (9.72693801e-01+1.97497502e-01j)  (7.96540499e-01+5.91666758e-01j)
 (7.02692032e-01+6.57605350e-01j)  (8.70495975e-01+3.52711916e-01j)  (5.84714890e-01+7.21567571e-01j)  (3.88408482e-01+8.43572617e-01j)  (5.56242585e-01+4.72868323e-01j)  (9.27304089e-01+2.56824702e-01j)  (6.35487020e-01+5.90391040e-01j)  (8.14773381e-01+5.60912013e-01j)  (9.72695112e-01+1.97483703e-01j)  (7.96525657e-01+5.91688037e-01j)
 (7.02683687e-01+6.57621086e-01j)  (8.70521545e-01+3.52678686e-01j)  (5.84660113e-01+7.21643209e-01j)  (3.88390601e-01+8.43546510e-01j)  (5.56285262e-01+4.72881138e-01j)  (9.27319109e-01+2.56804854e-01j)  (6.35516346e-01+5.90388119e-01j)  (8.14759493e-01+5.60931921e-01j)  (9.72696185e-01+1.97473317e-01j)  (7.96514392e-01+5.91704309e-01j)
