ID,Gender,Vowel,Condition,Rating
1,female,o,synthesized,53
1,female,o,estimated,51
1,female,o,anchor,31
1,female,o,reference,100
1,female,o,harmonic,79
1,male,o,anchor,24
1,male,o,estimated,34
1,male,o,harmonic,72
1,male,o,reference,100
1,male,o,synthesized,43
1,female,a,harmonic,79
1,female,a,anchor,23
1,female,a,synthesized,35
1,female,a,estimated,51
1,female,a,reference,100
1,female,i,anchor,10
1,female,i,estimated,41
1,female,i,synthesized,63
1,female,i,reference,100
1,female,i,harmonic,80
1,female,o,harmonic,77
1,female,o,anchor,19
1,female,o,estimated,38
1,female,o,synthesized,47
1,female,o,reference,100
1,male,i,synthesized,62
1,male,i,estimated,55
1,male,i,harmonic,84
1,male,i,anchor,37
1,male,i,reference,100
1,male,o,harmonic,66
1,male,o,reference,100
1,male,o,synthesized,29
1,male,o,estimated,67
1,male,o,anchor,32
1,female,a,synthesized,73
1,female,a,reference,100
1,female,a,anchor,23
1,female,a,estimated,81
1,female,a,harmonic,90
1,female,i,reference,100
1,female,i,estimated,22
1,female,i,harmonic,74
1,female,i,synthesized,32
1,female,i,anchor,17
1,male,o,estimated,60
1,male,o,synthesized,44
1,male,o,harmonic,92
1,male,o,reference,100
1,male,o,anchor,19
1,female,i,synthesized,64
1,female,i,estimated,56
1,female,i,harmonic,86
1,female,i,anchor,12
1,female,i,reference,100
1,male,i,estimated,18
1,male,i,anchor,20
1,male,i,reference,100
1,male,i,harmonic,67
1,male,i,synthesized,29
1,female,i,estimated,83
1,female,i,anchor,18
1,female,i,harmonic,70
1,female,i,synthesized,58
1,female,i,reference,100
1,male,a,anchor,33
1,male,a,estimated,20
1,male,a,harmonic,87
1,male,a,synthesized,23
1,male,a,reference,100
1,male,a,estimated,40
1,male,a,anchor,19
1,male,a,reference,100
1,male,a,harmonic,76
1,male,a,synthesized,35
1,male,i,reference,100
1,male,i,harmonic,72
1,male,i,anchor,27
1,male,i,synthesized,37
1,male,i,estimated,44
1,female,o,estimated,81
1,female,o,harmonic,74
1,female,o,reference,100
1,female,o,synthesized,75
1,female,o,anchor,20
1,male,i,harmonic,100
1,male,i,anchor,24
1,male,i,estimated,41
1,male,i,reference,100
1,male,i,synthesized,66
1,male,o,anchor,23
1,male,o,harmonic,90
1,male,o,estimated,58
1,male,o,synthesized,38
1,male,o,reference,100
1,female,i,harmonic,60
1,female,i,synthesized,82
1,female,i,anchor,19
1,female,i,estimated,99
1,female,i,reference,65
1,male,a,reference,100
1,male,a,anchor,25
1,male,a,estimated,75
1,male,a,harmonic,72
1,male,a,synthesized,60
1,female,a,reference,100
1,female,a,anchor,21
1,female,a,estimated,82
1,female,a,synthesized,77
1,female,a,harmonic,73
1,female,a,estimated,77
1,female,a,reference,100
1,female,a,harmonic,60
1,female,a,synthesized,41
1,female,a,anchor,21
1,female,o,synthesized,80
1,female,o,anchor,20
1,female,o,estimated,61
1,female,o,reference,100
1,female,o,harmonic,46
1,male,o,synthesized,11
1,male,o,harmonic,85
1,male,o,estimated,13
1,male,o,reference,100
1,male,o,anchor,23
1,female,o,synthesized,71
1,female,o,estimated,69
1,female,o,harmonic,84
1,female,o,reference,100
1,female,o,anchor,21
1,male,a,anchor,18
1,male,a,synthesized,51
1,male,a,reference,100
1,male,a,harmonic,84
1,male,a,estimated,39
1,male,a,synthesized,50
1,male,a,reference,100
1,male,a,estimated,65
1,male,a,harmonic,87
1,male,a,anchor,17
1,male,i,reference,100
1,male,i,harmonic,82
1,male,i,anchor,19
1,male,i,estimated,77
1,male,i,synthesized,81
1,female,a,synthesized,53
1,female,a,reference,100
1,female,a,harmonic,85
1,female,a,estimated,46
1,female,a,anchor,21
2,female,o,synthesized,100
2,female,o,reference,65
2,female,o,anchor,57
2,female,o,harmonic,70
2,female,o,estimated,76
2,female,a,synthesized,40
2,female,a,anchor,61
2,female,a,harmonic,78
2,female,a,estimated,18
2,female,a,reference,100
2,female,i,reference,100
2,female,i,estimated,51
2,female,i,anchor,18
2,female,i,synthesized,80
2,female,i,harmonic,45
2,male,o,estimated,80
2,male,o,reference,100
2,male,o,anchor,100
2,male,o,harmonic,100
2,male,o,synthesized,21
2,male,i,reference,100
2,male,i,estimated,74
2,male,i,anchor,64
2,male,i,synthesized,49
2,male,i,harmonic,51
2,male,a,reference,100
2,male,a,anchor,52
2,male,a,estimated,30
2,male,a,harmonic,58
2,male,a,synthesized,37
2,female,a,estimated,100
2,female,a,synthesized,56
2,female,a,anchor,24
2,female,a,harmonic,100
2,female,a,reference,78
2,male,a,anchor,63
2,male,a,reference,100
2,male,a,estimated,76
2,male,a,harmonic,100
2,male,a,synthesized,21
2,male,o,reference,63
2,male,o,synthesized,0
2,male,o,anchor,81
2,male,o,harmonic,96
2,male,o,estimated,40
2,female,i,reference,100
2,female,i,harmonic,76
2,female,i,anchor,21
2,female,i,estimated,44
2,female,i,synthesized,15
2,male,o,harmonic,22
2,male,o,reference,100
2,male,o,anchor,39
2,male,o,estimated,0
2,male,o,synthesized,26
2,female,a,reference,81
2,female,a,anchor,100
2,female,a,synthesized,38
2,female,a,harmonic,61
2,female,a,estimated,58
2,female,i,estimated,100
2,female,i,synthesized,100
2,female,i,anchor,60
2,female,i,harmonic,100
2,female,i,reference,100
2,female,i,reference,100
2,female,i,estimated,100
2,female,i,anchor,61
2,female,i,harmonic,100
2,female,i,synthesized,29
2,male,i,harmonic,100
2,male,i,estimated,29
2,male,i,synthesized,28
2,male,i,anchor,44
2,male,i,reference,41
2,male,o,synthesized,100
2,male,o,anchor,54
2,male,o,reference,76
2,male,o,harmonic,81
2,male,o,estimated,100
2,male,a,anchor,100
2,male,a,estimated,100
2,male,a,synthesized,100
2,male,a,reference,100
2,male,a,harmonic,100
2,female,a,anchor,82
2,female,a,synthesized,82
2,female,a,estimated,87
2,female,a,reference,79
2,female,a,harmonic,63
2,male,a,synthesized,100
2,male,a,reference,23
2,male,a,harmonic,48
2,male,a,estimated,67
2,male,a,anchor,78
2,male,i,synthesized,100
2,male,i,reference,100
2,male,i,anchor,60
2,male,i,estimated,38
2,male,i,harmonic,100
2,female,o,estimated,100
2,female,o,harmonic,79
2,female,o,reference,71
2,female,o,synthesized,36
2,female,o,anchor,41
2,male,a,reference,62
2,male,a,anchor,100
2,male,a,estimated,64
2,male,a,synthesized,100
2,male,a,harmonic,53
2,male,i,reference,31
2,male,i,anchor,65
2,male,i,harmonic,20
2,male,i,estimated,38
2,male,i,synthesized,65
2,female,i,estimated,63
2,female,i,synthesized,100
2,female,i,reference,42
2,female,i,harmonic,100
2,female,i,anchor,55
2,female,o,harmonic,70
2,female,o,estimated,87
2,female,o,synthesized,81
2,female,o,anchor,85
2,female,o,reference,48
2,female,o,reference,100
